colour	x	y	group	key	clickSelects	showSelected1	showSelected2	PANEL
#32D6BA	3	619	1	Berri	Berri	March 2010	Berri	2
#32D6BA	3	3072	1	Berri	Berri	April 2010	Berri	2
#32D6BA	3	2794	1	Berri	Berri	May 2010	Berri	2
#32D6BA	3	3676	1	Berri	Berri	June 2010	Berri	2
#32D6BA	3	5245	1	Berri	Berri	July 2010	Berri	2
#32D6BA	3	2112	1	Berri	Berri	August 2010	Berri	2
#32D6BA	3	5118	1	Berri	Berri	September 2010	Berri	2
#32D6BA	3	1748	1	Berri	Berri	October 2010	Berri	2
#32D6BA	3	2894	1	Berri	Berri	November 2010	Berri	2
#32D6BA	3	983	1	Berri	Berri	December 2010	Berri	2
#32D6BA	3	150	1	Berri	Berri	January 2011	Berri	2
#32D6BA	3	138	1	Berri	Berri	February 2011	Berri	2
#32D6BA	3	185	1	Berri	Berri	March 2011	Berri	2
#32D6BA	3	1099	1	Berri	Berri	April 2011	Berri	2
#32D6BA	3	6927	1	Berri	Berri	June 2011	Berri	2
#32D6BA	3	3816	1	Berri	Berri	July 2011	Berri	2
#32D6BA	3	5445	1	Berri	Berri	August 2011	Berri	2
#32D6BA	3	3311	1	Berri	Berri	September 2011	Berri	2
#32D6BA	3	1003	1	Berri	Berri	October 2011	Berri	2
#32D6BA	3	135	1	Berri	Berri	January 2012	Berri	2
#32D6BA	3	174	1	Berri	Berri	February 2012	Berri	2
#32D6BA	3	82	1	Berri	Berri	March 2012	Berri	2
#32D6BA	3	2416	1	Berri	Berri	April 2012	Berri	2
#32D6BA	3	3698	1	Berri	Berri	May 2012	Berri	2
#32D6BA	3	2755	1	Berri	Berri	June 2012	Berri	2
#32D6BA	3	6712	1	Berri	Berri	July 2012	Berri	2
#32D6BA	3	5577	1	Berri	Berri	August 2012	Berri	2
#32D6BA	3	4179	1	Berri	Berri	September 2012	Berri	2
#32D6BA	3	4685	1	Berri	Berri	October 2012	Berri	2
#32D6BA	3	844	1	Berri	Berri	November 2012	Berri	2
#32D6BA	3	69	1	Berri	Berri	January 2013	Berri	2
#32D6BA	3	85	1	Berri	Berri	February 2013	Berri	2
#32D6BA	3	119	1	Berri	Berri	March 2013	Berri	2
#32D6BA	3	1030	1	Berri	Berri	April 2013	Berri	2
#32D6BA	3	5769	1	Berri	Berri	May 2013	Berri	2
#32D6BA	3	4802	1	Berri	Berri	June 2013	Berri	2
#32D6BA	3	6679	1	Berri	Berri	July 2013	Berri	2
#32D6BA	3	3783	1	Berri	Berri	August 2013	Berri	2
#32D6BA	3	5710	1	Berri	Berri	September 2013	Berri	2
#32D6BA	4	24	1	Berri	Berri	January 2009	Berri	2
#32D6BA	4	122	1	Berri	Berri	February 2009	Berri	2
#32D6BA	4	164	1	Berri	Berri	March 2009	Berri	2
#32D6BA	4	4403	1	Berri	Berri	May 2009	Berri	2
#32D6BA	4	5278	1	Berri	Berri	June 2009	Berri	2
#32D6BA	4	2544	1	Berri	Berri	July 2009	Berri	2
#32D6BA	4	4417	1	Berri	Berri	August 2009	Berri	2
#32D6BA	4	4566	1	Berri	Berri	September 2009	Berri	2
#32D6BA	4	1336	1	Berri	Berri	October 2009	Berri	2
#32D6BA	4	1974	1	Berri	Berri	November 2009	Berri	2
#32D6BA	4	1108	1	Berri	Berri	December 2009	Berri	2
#32D6BA	4	117	1	Berri	Berri	January 2010	Berri	2
#32D6BA	4	260	1	Berri	Berri	February 2010	Berri	2
#32D6BA	4	624	1	Berri	Berri	March 2010	Berri	2
#32D6BA	4	1681	1	Berri	Berri	April 2010	Berri	2
#32D6BA	4	3750	1	Berri	Berri	May 2010	Berri	2
#32D6BA	4	7083	1	Berri	Berri	June 2010	Berri	2
#32D6BA	4	4297	1	Berri	Berri	July 2010	Berri	2
#32D6BA	4	3523	1	Berri	Berri	August 2010	Berri	2
#32D6BA	4	2337	1	Berri	Berri	September 2010	Berri	2
#32D6BA	4	3859	1	Berri	Berri	October 2010	Berri	2
#32D6BA	4	1579	1	Berri	Berri	November 2010	Berri	2
#32D6BA	4	287	1	Berri	Berri	December 2010	Berri	2
#32D6BA	4	232	1	Berri	Berri	January 2011	Berri	2
#32D6BA	4	166	1	Berri	Berri	February 2011	Berri	2
#32D6BA	4	227	1	Berri	Berri	March 2011	Berri	2
#32D6BA	4	600	1	Berri	Berri	April 2011	Berri	2
#32D6BA	4	5093	1	Berri	Berri	June 2011	Berri	2
#32D6BA	4	7056	1	Berri	Berri	July 2011	Berri	2
#32D6BA	4	5364	1	Berri	Berri	August 2011	Berri	2
#32D6BA	4	1946	1	Berri	Berri	September 2011	Berri	2
#32D6BA	4	144	1	Berri	Berri	January 2012	Berri	2
#32D6BA	4	84	1	Berri	Berri	February 2012	Berri	2
#32D6BA	4	107	1	Berri	Berri	March 2012	Berri	2
#32D6BA	4	2211	1	Berri	Berri	April 2012	Berri	2
#32D6BA	4	2511	1	Berri	Berri	May 2012	Berri	2
#32D6BA	4	2717	1	Berri	Berri	June 2012	Berri	2
#32D6BA	4	5153	1	Berri	Berri	July 2012	Berri	2
#32D6BA	4	4223	1	Berri	Berri	August 2012	Berri	2
#32D6BA	4	4225	1	Berri	Berri	September 2012	Berri	2
#32D6BA	4	4034	1	Berri	Berri	October 2012	Berri	2
#32D6BA	4	966	1	Berri	Berri	November 2012	Berri	2
#32D6BA	4	80	1	Berri	Berri	January 2013	Berri	2
#32D6BA	4	234	1	Berri	Berri	February 2013	Berri	2
#32D6BA	4	252	1	Berri	Berri	March 2013	Berri	2
#32D6BA	4	1466	1	Berri	Berri	April 2013	Berri	2
#32D6BA	4	4628	1	Berri	Berri	May 2013	Berri	2
#32D6BA	4	5659	1	Berri	Berri	June 2013	Berri	2
#32D6BA	4	6151	1	Berri	Berri	July 2013	Berri	2
#32D6BA	4	2671	1	Berri	Berri	August 2013	Berri	2
#32D6BA	4	5460	1	Berri	Berri	September 2013	Berri	2
#32D6BA	5	120	1	Berri	Berri	January 2009	Berri	2
#32D6BA	5	95	1	Berri	Berri	February 2009	Berri	2
