colour	x	y	label	key	clickSelects	showSelected1	showSelected2	PANEL	group
#A799FF	21	2058	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	March 2012	2	82
#A799FF	19	2510	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	April 2012	2	83
#A799FF	30	3222	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	May 2012	2	84
#A799FF	14	3478	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	June 2012	2	85
#A799FF	3	3134	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	July 2012	2	86
#A799FF	29	3592	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	August 2012	2	87
#A799FF	12	3624	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	September 2012	2	88
#A799FF	2	3025	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	October 2012	2	89
#A799FF	1	1708	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	November 2012	2	90
#0591F5	10	738	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	January 2012	2	163
#0591F5	23	793	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	February 2012	2	164
#0591F5	21	2393	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	March 2012	2	165
#0591F5	19	3735	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	April 2012	2	166
#0591F5	30	5306	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	May 2012	2	167
#0591F5	15	5499	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	June 2012	2	168
#0591F5	5	5330	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	July 2012	2	169
#0591F5	22	5013	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	August 2012	2	170
#0591F5	13	4869	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	September 2012	2	171
#0591F5	2	3781	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	October 2012	2	172
#0591F5	5	2205	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	November 2012	2	173
