x	y	group
-73.5270896889152	45.55438965	235
-73.5272072625947	45.55438965	235
-73.5273010788253	45.55438965	235
-73.5273597323998	45.55438965	235
-73.5273928756298	45.55438965	235
-73.5274196359983	45.55438965	235
-73.527451468608	45.55438965	235
-73.5274841576435	45.55438965	235
-73.5274946368356	45.55438965	235
-73.5435090369625	45.5329963174737	380
-73.5433438175915	45.5331899204953	380
-73.5432817271363	45.5332940652559	380
-73.543141466662	45.5336243581142	380
-73.542849216664	45.5343231429496	380
-73.5426292727056	45.5349179920974	380
-73.5423651040865	45.5356674586336	380
-73.5422729605763	45.5358392605524	380
-73.5421843544555	45.5359550052313	380
-73.5420717289189	45.5361205895078	380
-73.5419642960134	45.5362666189271	380
-73.5418654782843	45.5363476751253	380
-73.5417769184373	45.5363894661929	380
-73.5417304002269	45.5363990178608	380
-73.5439149471632	45.5325578855701	381
-73.5436688760496	45.5328227602521	381
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	382
-73.6224963	45.55438965	383
-73.6224963	45.55438965	383
-73.5449711569773	45.5284438103193	389
-73.5449695531111	45.5285036522312	389
-73.5449516297232	45.5285709556365	389
-73.5448870797177	45.5286850345281	389
-73.5448431553607	45.5287458727974	389
-73.5447800365081	45.5287848112538	389
-73.5456880156087	45.5260929090056	399
-73.5456724854939	45.5261307879278	399
-73.5456508746879	45.5262324051291	399
-73.5456651915757	45.5263266918939	399
-73.5456773907088	45.5264176852918	399
-73.5456642785172	45.5265008956705	399
-73.5455932588054	45.5267658927993	399
-73.5455651104188	45.5268940498989	399
-73.545544394734	45.5270233405902	399
-73.5817808909417	45.4723707861911	516
-73.5818225364945	45.4723374179164	516
-73.5819208161856	45.4722415192363	516
-73.582103871755	45.4720498182001	516
-73.5822195216265	45.471937705476	516
-73.5828274906757	45.4713357441963	516
-73.5832696592943	45.4708868779019	516
-73.5833678171783	45.4707922718922	516
-73.5837554701656	45.4704910765459	516
-73.5837721874089	45.4704805298399	516
-73.5808696705756	45.4720167851567	527
-73.5816266712457	45.4723168284254	527
-73.5827183206644	45.4698626351873	539
-73.5825889727901	45.4698920377045	539
-73.5743955250679	45.4782619953585	540
-73.5745426999577	45.4781314611731	540
-73.574784978097	45.4779262782966	540
-73.5749869836371	45.4777611682186	540
-73.5725998468299	45.4802226245506	541
-73.5727459895229	45.4801051880978	541
-73.572815180571	45.4800406747429	541
-73.5728394725656	45.4799668075569	541
-73.5728111267242	45.4798497610479	541
-73.5727722312002	45.4797378392792	541
-73.5727474009207	45.4796494825652	541
-73.5727675718439	45.4795756308955	541
-73.5730221832907	45.4793897411486	541
-73.5716613265393	45.4805406175931	542
-73.5717691947119	45.4805008708894	542
-73.5718832659701	45.4804930822029	542
-73.5720282564377	45.4805157085681	542
-73.5721269581196	45.4805129285764	542
-73.5722347131654	45.480491714939	542
-73.5723726380964	45.4804023438221	542
-73.5724981942734	45.4802957794464	542
-73.5674949460557	45.4838794279878	543
-73.5677712641652	45.4837335464954	543
-73.5678809308616	45.483653608346	543
-73.5681510871931	45.4834391920316	543
-73.5688184363896	45.4828890722109	543
-73.5689868106749	45.4827412044145	543
-73.5691415545276	45.4825853809635	543
-73.569302240085	45.4824188299399	543
-73.5694572271179	45.4822870020166	543
-73.5696163344014	45.4821802931206	543
-73.5698507887378	45.4820510221703	543
-73.5699321922309	45.4819991993977	543
-73.5700471114302	45.4819019553843	543
-73.5705689433511	45.4814822801457	543
-73.5708789166555	45.4812452050183	543
-73.5660105974895	45.485089327468	544
-73.5660623382254	45.4849367894678	544
-73.5661100153846	45.4848935026085	544
-73.5662914667408	45.4847880981799	544
-73.5663555235963	45.484747493507	544
-73.5664169353116	45.4846670446716	544
-73.5664612885559	45.4846118159923	544
-73.5662595660139	45.4856664304223	545
-73.5664571163457	45.4855935272139	545
-73.5641149971511	45.4870775992736	546
-73.5640266428978	45.4868200460207	546
-73.5651502568084	45.4856001573365	547
-73.5652893404	45.4857132717793	547
-73.5652972454361	45.4857358122354	547
-73.5650380268728	45.4858809553915	547
-73.564951014351	45.4859302752131	547
-73.5649416493452	45.4859583882476	547
-73.5649868377362	45.4859975397105	547
-73.5651153055497	45.4861070806712	547
-73.5641204499546	45.4860241378469	548
-73.5642983594177	45.4859359670785	548
-73.564169907872	45.4871788489219	558
-73.5642628582101	45.4871345927116	558
-73.5643707204988	45.4870747142296	558
-73.5644517281838	45.4870446638132	558
-73.5645114999376	45.4870326004969	558
-73.5645758117862	45.4870425770218	558
-73.5646220444911	45.4870686334805	558
-73.5646804032467	45.4871254440598	558
-73.5646946302893	45.4871616581884	558
-73.564694196877	45.4872107271245	558
-73.5545774464239	45.55438965	569
-73.5546272384861	45.55438965	569
-73.5546221931998	45.55438965	569
-73.5545964706525	45.55438965	569
-73.5545815631683	45.55438965	569
-73.55456315942	45.55438965	569
-73.55454840073	45.55438965	569
-73.554537259276	45.55438965	569
-73.5545550476087	45.55438965	569
-73.554591120991	45.55438965	569
-73.5836403701528	45.5403148689626	580
-73.5833917662583	45.5404473432038	580
-73.5923146360387	45.5333550571569	591
-73.5918959340666	45.5337188224137	591
-73.5918419995159	45.5337839779246	591
-73.5911730719914	45.5343507135388	591
-73.5904513474043	45.5349840005002	591
-73.5890250921529	45.5361918165823	591
-73.5880928227814	45.5369815565028	591
-73.5878281485414	45.5372057642451	591
-73.5872143594956	45.537748353273	591
-73.586499206972	45.5383487828656	591
-73.5940730561844	45.5318630301725	602
-73.5934984583759	45.5323633704797	602
-73.5929049614174	45.5328666148108	602
-73.592845832378	45.5329168490219	602
-73.6013070214943	45.5286413153907	613
-73.6012124665774	45.5286413607125	613
-73.6011148366833	45.5286534612325	613
-73.6008938054826	45.5287080962706	613
-73.6008189136886	45.5287851157943	613
-73.6007535275259	45.5288370740898	613
-73.6006428499184	45.5288835717257	613
-73.600515087173	45.5288892358273	613
-73.6003536122775	45.528853976995	613
-73.6002337451591	45.5288003302936	613
-73.6001392604178	45.5288090721982	613
-73.5999542108726	45.5288951855177	613
-73.5998641212062	45.528937250984	613
-73.5997678079157	45.5289631500391	613
-73.5996089808176	45.5289648339695	613
-73.5994353082643	45.5289592620133	613
-73.5992682923186	45.5290077007677	613
-73.598422511488	45.5292534132849	613
-73.5983404131341	45.5292951334966	613
-73.5982888669431	45.5293481056828	613
-73.6065115681485	45.5285036753729	624
-73.6063267219036	45.5285591776485	624
-73.6061670623002	45.5285907140749	624
-73.6060401504982	45.5285916752414	624
-73.6058568058421	45.5285750904016	624
-73.6055665283346	45.5285349194727	624
-73.6050948035149	45.5284618068283	624
-73.6049832822813	45.5284513080801	624
-73.6047805632789	45.5284478021677	624
-73.6043953872915	45.5284352431032	624
-73.6036926525857	45.5284218688751	624
-73.6033117082023	45.5284223358088	624
-73.6030028199543	45.5284341972794	624
-73.6028135163584	45.5284649118595	624
-73.6025751595016	45.5285035401578	624
-73.6024332643061	45.5285114266176	624
-73.6021724413886	45.5285421605071	624
-73.6017220899963	45.5285839593975	624
-73.5680959413633	45.5288328168949	635
-73.568052290859	45.5288846308744	635
-73.5674792040051	45.5295025441491	635
-73.5673911450092	45.5295715696085	635
-73.5932715564389	45.5340294441317	646
-73.5933676938893	45.5340198316749	646
-73.5934426941959	45.5339859933913	646
-73.5934756859259	45.5339370441514	646
-73.593473627221	45.5338541558033	646
-73.593494255865	45.5337909151175	646
-73.5935503898913	45.5337470932004	646
-73.5936633438785	45.5336976050735	646
-73.5937189654434	45.5336452655591	646
-73.5939578257396	45.533356737692	646
-73.5578230214413	45.4894396882399	657
-73.5576935803521	45.4895600637734	657
-73.5575944859839	45.4896315147132	657
-73.5573633529351	45.4897720553362	657
-73.5623079611937	45.4880819670367	668
-73.5627701334283	45.4879128443259	668
-73.5631343949366	45.4877611195088	668
-73.5634670636193	45.4876334624438	668
-73.5637042821496	45.4874787920337	668
-73.558259200801	45.4901986026862	676
-73.5584704174186	45.4901006406812	676
-73.5590155026622	45.4898197206935	676
-73.5592910344929	45.4896721232119	676
-73.5593766131202	45.4896418812619	676
-73.5595913621159	45.4895848509572	676
-73.5597985429579	45.4894906034205	676
-73.5601017834488	45.4893429472265	676
-73.5609726098328	45.4888555571005	676
-73.5573228589338	45.4906307668834	677
-73.5575522307298	45.4905002910353	677
-73.5550121285393	45.4907690942584	678
-73.554679175644	45.4907412595222	678
-73.5570922666918	45.4896621541037	679
-73.5570525378146	45.4895111123161	679
-73.5570316577176	45.4894311235227	679
-73.5570006026093	45.4893990988629	679
-73.556920831018	45.4893825281813	679
-73.5568731755361	45.4893956809141	679
-73.5568169596529	45.489434617762	679
-73.5567900331819	45.489476018075	679
-73.5567557550929	45.4895243199546	679
-73.5566779253612	45.4901468867353	679
-73.5527365963512	45.4962316450745	682
-73.5526230009812	45.4962689682353	682
-73.5525125601129	45.496266108731	682
-73.5523004731197	45.4962574364029	682
-73.5522353989549	45.4962134895171	682
-73.5521974699269	45.496169512219	682
-73.5521899161213	45.4961264266359	682
-73.5522097450212	45.4960781187078	682
-73.5687491136374	45.5231588301482	686
-73.5725119356692	45.5248691165647	686
-73.5725690767956	45.5249148434987	686
-73.5725921464636	45.5249694411809	686
-73.5726417986232	45.5250649520781	686
-73.5727258848751	45.5251491600133	686
-73.5727866730397	45.525223731816	686
-73.5728350514514	45.5253018965912	686
-73.5728862728675	45.5254366529166	686
-73.5729763404293	45.5255977798831	686
-73.5729820810368	45.5256349134892	686
-73.5729795608129	45.5257287920949	686
-73.5729968914855	45.5258295539448	686
-73.5730546118774	45.5260009280416	686
-73.5731171305943	45.5262355768436	686
-73.5731251356548	45.5263199820253	686
-73.5730947129027	45.5264079666361	686
-73.5730446111496	45.5264950216781	686
-73.5728805184856	45.5266791186107	686
-73.5728071503019	45.5267608864645	686
-73.5728056267125	45.5268107370606	686
-73.5728247801076	45.5268426237046	686
-73.5728692890342	45.5268708464722	686
-73.5729679240093	45.5269152795375	686
-73.5522412177722	45.491290170299	687
-73.5522789443249	45.4910357685604	687
-73.5509707061141	45.4955694490183	696
-73.5509925779207	45.4956027178073	696
-73.5510250404712	45.4956364562318	696
-73.551077080881	45.4956674259504	696
-73.5511903485128	45.4957017448338	696
-73.5513929930166	45.4957643126296	696
-73.5514480231968	45.4957701817597	696
-73.551478501315	45.4957663034181	696
-73.5515048252995	45.4957553928739	696
-73.5515308794809	45.4957387735283	696
-73.5282888645522	45.5170054065845	700
-73.5272112327991	45.5171461988098	700
-73.5213491985992	45.4977479784327	709
-73.521223766825	45.497685146074	709
-73.5207158758169	45.4976211279269	709
-73.5207814742761	45.4970367309163	709
-73.5211830089718	45.4966485040542	709
-73.5213331487068	45.4962727070779	709
-73.5564949819548	45.55438965	720
-73.5564496970735	45.55438965	720
-73.5562837759927	45.55438965	720
-73.5558343314894	45.55438965	720
-73.5553633053633	45.55438965	720
-73.5548472932528	45.55438965	720
-73.554617961179	45.55438965	720
-73.5918249495042	45.5027577516852	951
-73.5914201233721	45.5030914445829	951
-73.5908512969863	45.5034139822179	951
-73.5899821644142	45.5038469077088	951
