colour	x	y	group	clickSelects	showSelected1	PANEL
#FB8072	1368556200	2657.48387096774	4	du Parc	du Parc	2
#FB8072	1371234600	2508.5	4	du Parc	du Parc	2
#FB8072	1373826600	2758.51612903226	4	du Parc	du Parc	2
#FB8072	1376505000	2560.58064516129	4	du Parc	du Parc	2
#FB8072	1379183400	2811.16666666667	4	du Parc	du Parc	2
#0591F5	1245004200	2004	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1247596200	2234	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1250274600	1886.12903225806	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1252953000	1572.17857142857	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1255545000	720.5	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1258223400	817.566666666667	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1260815400	171.935483870968	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1263493800	109.516129032258	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1266172200	147.607142857143	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1268591400	583.129032258065	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1271269800	1411.13333333333	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1273861800	2566.22580645161	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1276540200	3026.53333333333	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1279132200	3006.51612903226	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1281810600	2289.8	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1287081000	1482.45833333333	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1289759400	1021.7	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1292351400	142.548387096774	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1295029800	115.516129032258	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1297708200	101.214285714286	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1300127400	210.645161290323	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1302805800	1025.63333333333	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1305397800	2308.16129032258	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1308076200	3598.83333333333	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1310668200	3375.74193548387	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1313346600	3046.70967741935	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1316025000	3021.7	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1318617000	1894.96774193548	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1321295400	2148	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1326565800	106.709677419355	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1329244200	157.689655172414	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1331749800	586.903225806452	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1334428200	1643.73333333333	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1337020200	3039.48387096774	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1339698600	3173.76666666667	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1342290600	3289.32258064516	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1344969000	3068.06451612903	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1347647400	2784.66666666667	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1350239400	2050.03225806452	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1352917800	1167.4	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1358188200	121.709677419355	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1360866600	146.535714285714	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1363285800	320.161290322581	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1365964200	1396.23333333333	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1368556200	2947.16129032258	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1371234600	2731.86666666667	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1373826600	2961.38709677419	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1376505000	2806.03225806452	5	Maisonneuve 1	Maisonneuve 1	2
#0591F5	1379183400	2607.5	5	Maisonneuve 1	Maisonneuve 1	2
#FC9D31	1245004200	3591.30434782609	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1247596200	3944.41935483871	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1250274600	3919.67741935484	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1252953000	4445.5	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1255545000	2535.45161290323	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1258223400	2050.76666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1260815400	456.161290322581	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1263493800	301.774193548387	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1266172200	344.821428571429	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1268591400	1270.09677419355	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1271269800	2718.26666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1273861800	4613.87096774194	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1276540200	4868.9	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1279132200	5217.8064516129	6	Maisonneuve 2	Maisonneuve 2	2
