colour	x	y	tooltip	clickSelects	showSelected1	PANEL	fill
#32D6BA	1371234600	4232.76666666667	126983 cyclists counted at Berri in 30 days of June 2013 (mean 4232 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1373826600	4944.77419354839	153288 cyclists counted at Berri in 31 days of July 2013 (mean 4944 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1376505000	4582.51612903226	142058 cyclists counted at Berri in 31 days of August 2013 (mean 4582 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1379183400	3942.88888888889	70972 cyclists counted at Berri in 18 days of September 2013 (mean 3942 cyclists/day)	Berri	Berri	2	#32D6BA
#7649C8	1247596200	5099.16	127479 cyclists counted at Br茅beuf in 25 days of July 2009 (mean 5099 cyclists/day)	Br茅beuf	Br茅beuf	2	#7649C8
#7649C8	1250274600	5225.83870967742	162001 cyclists counted at Br茅beuf in 31 days of August 2009 (mean 5225 cyclists/day)	Br茅beuf	Br茅beuf	2	#7649C8
#7649C8	1252953000	3999.9	119997 cyclists counted at Br茅beuf in 30 days of September 2009 (mean 3999 cyclists/day)	Br茅beuf	Br茅beuf	2	#7649C8
#7649C8	1255545000	1131.03225806452	35062 cyclists counted at Br茅beuf in 31 days of October 2009 (mean 1131 cyclists/day)	Br茅beuf	Br茅beuf	2	#7649C8
#7649C8	1258223400	921.133333333333	13817 cyclists counted at Br茅beuf in 15 days of November 2009 (mean 921 cyclists/day)	Br茅beuf	Br茅beuf	2	#7649C8
#7649C8	1271269800	2273.53333333333	34103 cyclists counted at Br茅beuf in 15 days of April 2010 (mean 2273 cyclists/day)	Br閎euf	Br閎euf	2	#7649C8
#7649C8	1276540200	4557.39285714286	127607 cyclists counted at Br茅beuf in 28 days of June 2010 (mean 4557 cyclists/day)	Br閎euf	Br閎euf	2	#7649C8
#7649C8	1279132200	4794.1935483871	148620 cyclists counted at Br茅beuf in 31 days of July 2010 (mean 4794 cyclists/day)	Br閎euf	Br閎euf	2	#7649C8
#7649C8	1281810600	4801.32258064516	148841 cyclists counted at Br茅beuf in 31 days of August 2010 (mean 4801 cyclists/day)	Br閎euf	Br閎euf	2	#7649C8
#7649C8	1284489000	3847.6	115428 cyclists counted at Br茅beuf in 30 days of September 2010 (mean 3847 cyclists/day)	Br閎euf	Br閎euf	2	#7649C8
#7649C8	1287081000	2472.51612903226	76648 cyclists counted at Br茅beuf in 31 days of October 2010 (mean 2472 cyclists/day)	Br閎euf	Br閎euf	2	#7649C8
#7649C8	1289759400	1891.1875	30259 cyclists counted at Br茅beuf in 16 days of November 2010 (mean 1891 cyclists/day)	Br閎euf	Br閎euf	2	#7649C8
#A799FF	1287081000	1041.62962962963	28124 cyclists counted at C么te-Sainte-Catherine in 27 days of October 2010 (mean 1041 cyclists/day)	C魌e-Sainte-Catherine	C魌e-Sainte-Catherine	2	#A799FF
#A799FF	1289759400	710.866666666667	21326 cyclists counted at C么te-Sainte-Catherine in 30 days of November 2010 (mean 710 cyclists/day)	C魌e-Sainte-Catherine	C魌e-Sainte-Catherine	2	#A799FF
#A799FF	1292351400	88.8888888888889	1600 cyclists counted at C么te-Sainte-Catherine in 18 days of December 2010 (mean 88 cyclists/day)	C魌e-Sainte-Catherine	C魌e-Sainte-Catherine	2	#A799FF
#A799FF	1295029800	9.38461538461539	244 cyclists counted at C么te-Sainte-Catherine in 26 days of January 2011 (mean 9 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1297708200	33.3529411764706	567 cyclists counted at C么te-Sainte-Catherine in 17 days of February 2011 (mean 33 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1300127400	122.875	2949 cyclists counted at C么te-Sainte-Catherine in 24 days of March 2011 (mean 122 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1302805800	708.3	21249 cyclists counted at C么te-Sainte-Catherine in 30 days of April 2011 (mean 708 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1305397800	1362.70967741936	42244 cyclists counted at C么te-Sainte-Catherine in 31 days of May 2011 (mean 1362 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1308076200	1964.33333333333	58930 cyclists counted at C么te-Sainte-Catherine in 30 days of June 2011 (mean 1964 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1310668200	1837.16129032258	56952 cyclists counted at C么te-Sainte-Catherine in 31 days of July 2011 (mean 1837 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1313346600	1823.58064516129	56531 cyclists counted at C么te-Sainte-Catherine in 31 days of August 2011 (mean 1823 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1316025000	1629.53333333333	48886 cyclists counted at C么te-Sainte-Catherine in 30 days of September 2011 (mean 1629 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1318617000	495.777777777778	8924 cyclists counted at C么te-Sainte-Catherine in 18 days of October 2011 (mean 495 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1326565800	2	38 cyclists counted at C么te-Sainte-Catherine in 19 days of January 2012 (mean 2 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1329244200	3.64285714285714	51 cyclists counted at C么te-Sainte-Catherine in 14 days of February 2012 (mean 3 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1331749800	421.777777777778	11388 cyclists counted at C么te-Sainte-Catherine in 27 days of March 2012 (mean 421 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1334428200	971.233333333333	29137 cyclists counted at C么te-Sainte-Catherine in 30 days of April 2012 (mean 971 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1337020200	1753.54838709677	54360 cyclists counted at C么te-Sainte-Catherine in 31 days of May 2012 (mean 1753 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1339698600	1960.86666666667	58826 cyclists counted at C么te-Sainte-Catherine in 30 days of June 2012 (mean 1960 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1342290600	1924.41935483871	59657 cyclists counted at C么te-Sainte-Catherine in 31 days of July 2012 (mean 1924 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1344969000	1986.74193548387	61589 cyclists counted at C么te-Sainte-Catherine in 31 days of August 2012 (mean 1986 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1347647400	1932.86666666667	57986 cyclists counted at C么te-Sainte-Catherine in 30 days of September 2012 (mean 1932 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1350239400	1463.41935483871	45366 cyclists counted at C么te-Sainte-Catherine in 31 days of October 2012 (mean 1463 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1352917800	788.2	3941 cyclists counted at C么te-Sainte-Catherine in 5 days of November 2012 (mean 788 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1358188200	19.0588235294118	324 cyclists counted at C么te-Sainte-Catherine in 17 days of January 2013 (mean 19 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1360866600	5.25	84 cyclists counted at C么te-Sainte-Catherine in 16 days of February 2013 (mean 5 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1363285800	177.464285714286	4969 cyclists counted at C么te-Sainte-Catherine in 28 days of March 2013 (mean 177 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1365964200	1060.8	31824 cyclists counted at C么te-Sainte-Catherine in 30 days of April 2013 (mean 1060 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1368556200	2007.38709677419	62229 cyclists counted at C么te-Sainte-Catherine in 31 days of May 2013 (mean 2007 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1371234600	1861.76666666667	55853 cyclists counted at C么te-Sainte-Catherine in 30 days of June 2013 (mean 1861 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1373826600	1996.51612903226	61892 cyclists counted at C么te-Sainte-Catherine in 31 days of July 2013 (mean 1996 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
